,MDS_x,MDS_y,Entity,tsne_x,tsne_y,scluster6,kmeans6
10172,-2.1930754669550363,7.096737880793036,Saint Pierre and Miquelon,-17.070515,-6.5117364,0,2
10230,-2.2929370634819226,7.854297034649097,Saint Vincent and the Grenadines,-19.034597,-8.123312,0,2
10288,-2.4502180687429904,8.558497853100201,Samoa,-20.804283,-9.068129,0,2
13639,-3.3273788974860428,6.95041942967821,San Marino,-15.729287,-10.73579,0,2
10346,-3.4567576292286004,5.679568633239243,Sao Tome and Principe,-12.194472,-6.0281725,0,2
10404,-1.8187095252650534,0.6534398126525737,Saudi Arabia,6.6043696,-1.7988479,0,0
13640,-0.8333572218301613,2.7518797907989376,Saxony,-0.7896296,-2.9887788,0,0
10462,0.40241404036475964,5.092706906529844,Senegal,-2.5374415,-10.526659,0,2
10520,-3.98198491463299,0.29584720003745674,Serbia,1.4290693,0.6351834,0,0
10533,-2.7307088760514273,-0.18028629786450884,Serbia and Montenegro,8.227516,-1.5148784,0,0
13642,-0.5556691931565925,1.9733957407428622,Serbia excluding Kosovo,0.91564715,-1.218144,0,0
10547,1.0658278524362055,4.164449204172421,Seychelles,-0.32273918,-10.134913,0,2
10605,-1.8258650893095891,2.4176711262908657,Sierra Leone,-1.9624959,-3.076008,0,0
10663,-1.4129493146442742,0.6354836884282759,Singapore,6.31723,-1.0989294,0,0
13643,-1.0258012509881982,-0.5270310324306915,Sint Maarten (Dutch part),7.3679132,2.268581,0,0
10721,-0.5970445103830065,-1.7553743250254565,Slovakia,8.415846,4.9989924,4,0
10747,-4.030330776030357,-7.889291310125093,Slovenia,11.349299,14.101627,4,3
10774,3.2014050801034553,0.09976233504920536,Small island developing States,13.118358,1.5317582,0,0
10832,-1.6990976600701146,3.682707644980391,Solomon Islands,-4.0167384,-4.4308524,0,2
10890,-1.6366243700858258,3.472637638794681,Somalia,-3.518417,-4.2405553,0,2
13644,-1.6695771815204634,3.2714960497479684,Somaliland,-3.6616066,-3.4400024,0,2
10948,-1.453508092147552,3.2895003498140114,South Africa,-3.3503683,-3.623847,0,2
11006,-9.44504850021799,0.49799413240742957,South America,1.8261628,9.939095,0,0
11064,1.4088454704734166,-1.1037079488343327,South Eastern Asia,4.6925993,6.535,0,0
13645,-0.7254910921314476,-7.967442938591439,South Georgia and the South Sandwich Islands,13.084929,13.12298,4,3
11122,-2.826081059203574,-14.964224389401267,South Korea,15.775247,15.455067,4,4
13646,-0.6826206972461076,-10.60786160149175,South Ossetia,14.98495,13.672446,4,3
11180,0.7383635288014302,-6.608943842267723,South Sudan,14.13847,10.632212,4,3
11187,3.2497492102704086,-1.1832324286694667,Southern Africa,13.4068775,2.5898612,0,0
11245,-3.659563937753987,-1.8019748301175809,Southern Asia,3.8084414,5.948597,0,0
11303,3.7507758810425913,-3.43974904744528,Southern Europe,5.3360515,8.988258,4,3
11361,0.1722632524262473,-1.1308710099775838,Spain,6.9884987,4.7135315,0,0
11419,-1.0304596806112145,-4.908207302088042,Sri Lanka,11.302611,10.274137,4,3
11477,-1.2609022410054316,1.9785454710298949,Sudan,0.20304339,-3.7682076,0,0
11484,-0.8572612827921261,8.113484974533478,Sudan (former),-13.2236185,-9.873845,0,2
11535,6.482215368226251,-1.7518423651388544,Suriname,9.883101,-6.3743134,0,0
13647,-0.3034493404988809,-5.460951015492817,Svalbard and Jan Mayen,12.727174,9.96842,4,3
11593,4.7706653681124935,-8.69843647266713,Sweden,17.671614,10.241009,4,3
11651,-1.083915898609618,-6.701388912649331,Switzerland,12.622949,11.659432,4,3
11709,3.522109848712086,-1.2797328674380224,Syria,12.976664,2.6449807,0,0
11767,-3.1199752236242393,6.432100048422283,Taiwan,-13.627711,-6.8779154,0,2
